site,pillar,indicator,raw_value,bg_median,anomaly,bg_std,bg_std_spatial,bg_std_temporal,z,score,confidence,qa,n_valid,anomaly_strength,spatial_context,extra_note
Norilsk Nickel — Nadezhda smelter,air,air.no2,109.42946058214679,85.3855553934475,24.043905188699284,107.6922445079618,10.235328201065807,107.6922445079618,0.22326496488725048,0.07442165496241682,0.6927962962962964,0.9,1.0,0.037037037037037035,1.0,
Norilsk Nickel — Nadezhda smelter,air,air.so2,2339.9709946271237,1098.9325287175168,1241.0384659096069,989.1102434357242,989.1102434357242,,1.2547018637667702,0.41823395458892343,0.20386666666666667,0.75,0.037037037037037035,0.0,1.0,
Norilsk Nickel — Nadezhda smelter,air,air.co,30.99489505424268,30.944966173752604,0.049928880490075045,2.72822157487798,0.6461027717113272,2.72822157487798,0.018300889102934436,0.006100296367644811,0.6016470588235294,0.85,1.0,0.18823529411764706,1.0,
Norilsk Nickel — Nadezhda smelter,air,air.hcho,44.3924088386064,42.46447033746653,1.9279385011398702,13.996170242952546,3.231947925755973,13.996170242952546,0.1377475743488216,0.04591585811627386,0.7647499999999999,0.85,1.0,0.4,1.0,
Norilsk Nickel — Nadezhda smelter,air,air.pm25,,,,,,,,,,,,,,
Norilsk Nickel — Nadezhda smelter,air,air.pm10,,,,,,,,,,,,,,
Norilsk Nickel — Nadezhda smelter,air,air.o3,439.1383986704027,438.1723327835145,0.9660658868882024,40.50139208237237,1.1611998201389793,40.50139208237237,0.023852658815366207,0.007950886271788736,0.73625,0.85,1.0,0.125,1.0,
Norilsk Nickel — Nadezhda smelter,air,air.aai,-0.21054319946032962,-0.05282750574427624,-0.15771569371605337,0.27505337917083683,0.1431983399256288,0.27505337917083683,-0.573400313028314,0.0,0.8356818181818181,0.85,1.0,0.5227272727272727,1.0,
Norilsk Nickel — Nadezhda smelter,air,air.aod,270.1098759048604,279.0,-8.890124095139583,13.817491701574383,13.817491701574383,,-0.6433963766467564,0.0,0.32199999999999995,0.9,0.1111111111111111,0.3333333333333333,1.0,
Norilsk Nickel — Nadezhda smelter,ghg,ghg.ch4,1857.1100395903663,1865.6196961517185,-8.50965656135213,7.070850131426036,7.0708501314260355,,-1.2034842208762695,0.0,0.2990859830417449,0.85,0.18518518518518517,0.0,0.4220128216441705,context — not scored (M-CH4-A1 reference)
