site,site_kind,lat,lon,pillar,indicator,native_scale_m,window,bg_median,bg_std,cv,n_valid_days,n_hot_days,hf,max_day_z,error
godzilla_2020_ctrl,control,18.2,-66.5,air,pm25,44544.0,2020-05-15/2020-06-14,4.085561752319336,0.965096397852239,0.2362212239979882,30.0,27.0,0.9,5.828861426388281,
godzilla_2020_ctrl,control,18.2,-66.5,air,pm10,44544.0,2020-05-15/2020-06-14,,,,,,,,"EEException: reduce.mean: Error in map(ID=20200510T00F120):
Image.select:"
godzilla_2020_ctrl,control,18.2,-66.5,air,aod,1000.0,2020-05-15/2020-06-14,148.79210239822464,66.87697054498956,0.4494658618775423,1.0,0.0,0.0,0.15281603766433172,
godzilla_2020_ctrl,control,18.2,-66.5,ghg,ch4,1113.2,2020-05-15/2020-06-14,,,,,,,,BackgroundRingNoDataError
godzilla_2020_ctrl,control,18.2,-66.5,ghg,viirs,463.83,2020-05-15/2020-06-14,1.2058373591338931,6.216785463187261,5.155575431542891,30.0,0.0,0.0,-0.0420275418966469,
beijing_2021_ctrl,control,39.9,116.4,air,no2,1113.2,2021-02-01/2021-03-03,264.5134287673926,24.667726357887098,0.09325699066711415,28.0,10.0,0.35714285714285715,11.073635086073075,
beijing_2021_ctrl,control,39.9,116.4,air,so2,1113.2,2021-02-01/2021-03-03,795.9802289433542,297.4738863172772,0.37372019492515174,21.0,7.0,0.3333333333333333,8.3802487592441,
beijing_2021_ctrl,control,39.9,116.4,air,co,1113.2,2021-02-01/2021-03-03,51.46480635866802,2.080526167497341,0.040426192474091106,18.0,4.0,0.2222222222222222,22.759639708269404,
beijing_2021_ctrl,control,39.9,116.4,air,hcho,1113.2,2021-02-01/2021-03-03,145.0796966217048,43.16613842981469,0.297533972257816,24.0,5.0,0.20833333333333334,6.701338031360025,
beijing_2021_ctrl,control,39.9,116.4,air,o3,1113.2,2021-02-01/2021-03-03,356.54572558243126,1.5178063436046656,0.004256975290126589,30.0,17.0,0.5666666666666667,39.09402464639251,
beijing_2021_ctrl,control,39.9,116.4,air,aai,1113.2,2021-02-01/2021-03-03,-0.9033187767670012,0.040171555904554866,0.044471073709250006,30.0,12.0,0.4,31.572746602964624,
beijing_2021_ctrl,control,39.9,116.4,air,pm25,44544.0,2021-02-01/2021-03-03,160.22166442871094,41.73773087226304,0.2604999206635619,30.0,20.0,0.6666666666666666,3.086071281046939,
beijing_2021_ctrl,control,39.9,116.4,air,pm10,44544.0,2021-02-01/2021-03-03,,,,,,,,"EEException: reduce.mean: Error in map(ID=20210127T00F120):
Image.select:"
