control,window,n_ring_px,ring_min,ring_max,ring_mean,ring_median,ring_spatial_std,ring_n_unique,ring_iqr,site_temporal_std,temporal_over_spatial
quebec_2023_ctrl,2023-05-01/2023-05-31,2149,-0.4513072662093108,-0.190878863781705,-0.3351546536073175,-0.33823025456383776,0.05405057861253976,2134,0.08738072766406219,0.3492932817855322,6.46234121357761
bayarea_2020_ctrl,2020-07-15/2020-08-14,1303,-2.310096317208941,-0.6189081100728572,-1.4631308465368595,-1.4856676078599838,0.2595663343968447,1303,0.3358701965257982,0.5635444393234581,2.1710998871751555
godzilla_2020_ctrl,2020-05-15/2020-06-14,1577,-1.7641857565211754,-0.5709651802308702,-1.308462268868536,-1.332599749596924,0.21399506442181834,1576,0.25233194353681654,0.5707102483644442,2.6669318281074155
beijing_2021_ctrl,2021-02-01/2021-03-03,1955,-1.1187482960722401,-0.802679654747017,-0.9060789696361513,-0.9039457544188421,0.039117904391834865,1939,0.034019772131183235,0.5558094946918734,14.208570303880805
phoenix_2021_ctrl,2021-06-01/2021-07-01,1810,-1.090630898022646,-0.39486744446694333,-0.7119478966196219,-0.7014497564691625,0.12194779589405416,1807,0.18346547199491858,0.5305540071233642,4.350664997539595
