id,expected_tier,note,lat,lon,rad_mean_unmasked,rad_median_unmasked,rad_sum_unmasked,rad_mean_masked,rad_median_masked,rad_sum_masked,rad_max,lit_pixel_count,lit_day_count,combustion_proxy,viirs_score
norilsk_diag,High,Nornickel smelter (diagnostic),69.35,88.2,13.721288830124339,2.824067791277949,56218.434122979015,13.744663638391993,2.824067791277949,56211.146627118855,,4238,90,0.4017389354073111,0.9290038690609094
korba,High,coal power + aluminium,22.35,82.68,12.018546908637814,7.528892870203305,18775.279717560985,12.018546908637814,7.528892870203305,18775.279717560985,,1652,90,0.3008199358888299,0.7928343087354055
jamshedpur,High,Tata steel,22.8,86.2,25.26734073797467,12.828598721185498,39602.54355854043,25.26734073797467,12.828598721185498,39602.54355854043,,1649,90,0.38286139107048284,0.921724302286496
yanbu,High,petrochem/refining,24.09,38.06,43.943322248382835,17.05105336027212,69548.32065212287,44.03111042337728,17.05105336027212,69545.15319697982,,1659,90,0.3123751546142732,0.7815731805096549
ploiesti,Mid,mid oil-refining city,44.94,26.03,12.323785457025767,5.4591995960988395,25155.45586059226,12.7837675866828,5.4591995960988395,25090.27451679611,,2050,90,0.12945892957546123,0.7798201353996
pavlodar,Mid,refinery + aluminium,52.29,76.95,13.232206662945961,3.4363660363486224,31257.63748927615,18.29243540167217,7.447959977475372,30752.668516964914,,1737,90,0.09374122921074864,0.957879092620272
vadodara,Mid,petrochem secondary city,22.31,73.18,36.192716546229434,33.965802006878604,56524.08151524012,36.192716546229434,33.965802006878604,56524.08151524012,,1642,90,0.24834507155480753,0.8601398328134577
rondonopolis,Mid,soy agro-industrial,-16.47,-54.64,22.046671015745382,6.476653561273932,33217.76244819025,22.674469286441823,7.437228307726096,33176.927781972074,,1534,90,0.09524208404413471,0.9667233606074401
patagonia_diag,Low,Patagonian steppe wilderness,-51.0,-72.9,0.0901552657436997,0.08687241293782057,206.98553009562065,,,0.0,,0,90,0.03221893039641363,0.12954977862285105
nz_south,Low,rural South Island,-45.5,170.0,0.13020314576563372,0.11736216969661692,268.3946374744177,2.0929124719298935,2.0929124719298935,4.185824943859787,,2,90,0.0,0.08987808239004362
appalachia,Low,forested rural NC,35.5,-82.5,8.816813225364898,3.244349521088988,15647.80350647252,9.661874548156906,3.68991868141034,15509.847259967237,,1677,90,0.08846617588285416,0.7313682763095095
amazon_wet,Low,central Amazon,-4.0,-63.0,0.12140296428489625,0.11714332595561032,175.8286273088992,2.696592855245568,2.696592855245568,2.696592855245568,,1,90,0.00024108542852439767,0.16924913853540363
sapezal_seed,Low,soy plantation frontier (seed),-13.5417,-58.7642,3.2219219497523808,0.3248861153760272,4788.268781865527,16.152437058999393,7.237098170528894,4269.3108148100355,,267,90,0.018015548804877497,0.8683441137783474
distrito_federal_seed,Mid,Brasília urban (seed; native r=43km),-15.7808,-47.7968,27.93847300180064,15.089395782106381,41946.71380226427,27.93847300180064,15.089395782106381,41946.71380226427,,1584,90,0.054422179447830815,0.4868930023876997
norilsk_seed,High,Nornickel smelter (seed),69.3536,88.1864,13.857896347404676,2.818950860980855,56787.159375852636,13.895540493319725,2.818950860980855,56775.70716318158,,4231,90,0.4114790785904747,0.9305739209176129
patagonia_seed,Mid,Comodoro Rivadavia oil/gas region (seed),-45.8645,-67.4969,21.609176287922782,3.4543070982640764,44837.09173448047,30.21380019887392,11.527601080445777,44443.670694106695,,1509,90,0.09589651655573014,0.9571281901382955
suape_seed,Mid,Suape port-industrial complex (seed),-8.4023,-34.9614,12.59902654655045,4.4550295960935244,18401.00179110503,17.620629866903148,7.512158508926087,18128.65681114422,,1075,90,0.0,0.22081852873670976
